index,question,answer
92,ช่วยบอกฉันเกี่ยวกับ ต้องการตรวจสอบข้อมูลการใช้งานการโทรหรือ Data ผ่านช่องทางไหนได้บ้าง,แอป my eService และ  NT Mobile
93,ต้องการตรวจสอบข้อมูลการใช้งานการโทรหรือ Data ผ่านช่องทางไหนได้บ้าง ได้ที่ไหน?,แอป my eService และ  NT Mobile
94,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ต้องการตรวจสอบข้อมูลการใช้งานการโทรหรือ Data ผ่านช่องทางไหนได้บ้าง หรือไม่?,แอป my eService และ  NT Mobile
95,ต้องการตรวจสอบข้อมูลการใช้งานการโทรหรือ Data ผ่านช่องทางไหนได้บ้าง,แอป my eService และ  NT Mobile
96,ช่วยบอกฉันเกี่ยวกับ ซิม Thunder Net ชำรุดสามารถเปลี่ยนได้หรือไม่,เปลี่ยนใหม่ได้ สามารถติดต่อได้ที่ศูนย์บริการ NT
97,ฉันจะสามารถ ซิม Thunder Net ชำรุดสามารถเปลี่ยนได้หรือไม่ ได้อย่างไร?,เปลี่ยนใหม่ได้ สามารถติดต่อได้ที่ศูนย์บริการ NT
98,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ซิม Thunder Net ชำรุดสามารถเปลี่ยนได้หรือไม่ หรือไม่?,เปลี่ยนใหม่ได้ สามารถติดต่อได้ที่ศูนย์บริการ NT
99,ซิม Thunder Net ชำรุดสามารถเปลี่ยนได้หรือไม่,เปลี่ยนใหม่ได้ สามารถติดต่อได้ที่ศูนย์บริการ NT
100,ซิม Thunder Net ชำรุดสามารถเปลี่ยนได้หรือไม่ ได้ที่ไหน?,เปลี่ยนใหม่ได้ สามารถติดต่อได้ที่ศูนย์บริการ NT
101,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ซิม Thunder Net สามารย้ายค่ายได้หรือไม่ หรือไม่?,"ไม่สามารถย้ายค่ายได้เนื่องจากเป็นซิมใช้งานได้เฉพาะอินเตอร์เน็ตเท่านั้น ไม่สามารถโทรออกหรือรับสายได้ , ไม่สามารถส่งหรือรับ SMS หรือ OTP ได้"
102,ช่วยบอกฉันเกี่ยวกับ ซิม Thunder Net สามารย้ายค่ายได้หรือไม่,"ไม่สามารถย้ายค่ายได้เนื่องจากเป็นซิมใช้งานได้เฉพาะอินเตอร์เน็ตเท่านั้น ไม่สามารถโทรออกหรือรับสายได้ , ไม่สามารถส่งหรือรับ SMS หรือ OTP ได้"
103,ซิม Thunder Net สามารย้ายค่ายได้หรือไม่,"ไม่สามารถย้ายค่ายได้เนื่องจากเป็นซิมใช้งานได้เฉพาะอินเตอร์เน็ตเท่านั้น ไม่สามารถโทรออกหรือรับสายได้ , ไม่สามารถส่งหรือรับ SMS หรือ OTP ได้"
104,ซิม Thunder Net สามารย้ายค่ายได้หรือไม่ ได้ที่ไหน?,"ไม่สามารถย้ายค่ายได้เนื่องจากเป็นซิมใช้งานได้เฉพาะอินเตอร์เน็ตเท่านั้น ไม่สามารถโทรออกหรือรับสายได้ , ไม่สามารถส่งหรือรับ SMS หรือ OTP ได้"
105,ฉันจะสามารถ ซิม Thunder Net สามารย้ายค่ายได้หรือไม่ ได้อย่างไร?,"ไม่สามารถย้ายค่ายได้เนื่องจากเป็นซิมใช้งานได้เฉพาะอินเตอร์เน็ตเท่านั้น ไม่สามารถโทรออกหรือรับสายได้ , ไม่สามารถส่งหรือรับ SMS หรือ OTP ได้"
106,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ต้องการเปลี่ยนซิมจาก 4G เป็น 5G ของ My By NT ทำได้หรือไม่ หรือไม่?,สามารถเปลี่ยนซิมเป็น 5G ได้ แต่ต้องเปลี่ยนโปรโมชันที่เป็นโปรโมชันเฉพาะของซิม 5G เท่านั้น
107,ต้องการเปลี่ยนซิมจาก 4G เป็น 5G ของ My By NT ทำได้หรือไม่ ได้ที่ไหน?,สามารถเปลี่ยนซิมเป็น 5G ได้ แต่ต้องเปลี่ยนโปรโมชันที่เป็นโปรโมชันเฉพาะของซิม 5G เท่านั้น
108,ต้องการเปลี่ยนซิมจาก 4G เป็น 5G ของ My By โทรคมนาคมแห่งชาติ ทำได้หรือไม่,สามารถเปลี่ยนซิมเป็น 5G ได้ แต่ต้องเปลี่ยนโปรโมชันที่เป็นโปรโมชันเฉพาะของซิม 5G เท่านั้น
109,ช่วยบอกฉันเกี่ยวกับ ต้องการเปลี่ยนซิมจาก 4G เป็น 5G ของ My By NT ทำได้หรือไม่,สามารถเปลี่ยนซิมเป็น 5G ได้ แต่ต้องเปลี่ยนโปรโมชันที่เป็นโปรโมชันเฉพาะของซิม 5G เท่านั้น
110,ต้องการเปลี่ยนซิมจาก 4G เป็น 5G ของ My By National Telecom ทำได้หรือไม่,สามารถเปลี่ยนซิมเป็น 5G ได้ แต่ต้องเปลี่ยนโปรโมชันที่เป็นโปรโมชันเฉพาะของซิม 5G เท่านั้น
111,ช่วยบอกฉันเกี่ยวกับ ต้องการย้ายค่ายเข้ามาเป็น My By NT และ NT Mobile ต้องทำอย่างไร,"ชำระค่าบริการค่ายเดิม พร้อมกดขอรหัสย้ายค่าย *151*เลขบัตรประชาชน 13 หลัก # โทรออก นำรหัส 8 หลักพร้อมบัตรประชาชนตัวจริงติดต่อศูนย์บริการ NT ทุกสาขา
หมายเหตุ : รหัสย้ายค่ายใช้ได้ภายในวันนั้นเท่านั้น หากข้ามวันลูกค้าต้องกดขอรหัสใหม่"
112,ต้องการย้ายค่ายเข้ามาเป็น My By National Telecom และ National Telecom Mobile ต้องทำอย่างไร,"ชำระค่าบริการค่ายเดิม พร้อมกดขอรหัสย้ายค่าย *151*เลขบัตรประชาชน 13 หลัก # โทรออก นำรหัส 8 หลักพร้อมบัตรประชาชนตัวจริงติดต่อศูนย์บริการ NT ทุกสาขา
หมายเหตุ : รหัสย้ายค่ายใช้ได้ภายในวันนั้นเท่านั้น หากข้ามวันลูกค้าต้องกดขอรหัสใหม่"
113,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ต้องการย้ายค่ายเข้ามาเป็น My By NT และ NT Mobile ต้องทำอย่างไร หรือไม่?,"ชำระค่าบริการค่ายเดิม พร้อมกดขอรหัสย้ายค่าย *151*เลขบัตรประชาชน 13 หลัก # โทรออก นำรหัส 8 หลักพร้อมบัตรประชาชนตัวจริงติดต่อศูนย์บริการ NT ทุกสาขา
หมายเหตุ : รหัสย้ายค่ายใช้ได้ภายในวันนั้นเท่านั้น หากข้ามวันลูกค้าต้องกดขอรหัสใหม่"
114,ต้องการย้ายค่ายเข้ามาเป็น My By NT และ NT Mobile ต้องทำอย่างไร,"ชำระค่าบริการค่ายเดิม พร้อมกดขอรหัสย้ายค่าย *151*เลขบัตรประชาชน 13 หลัก # โทรออก นำรหัส 8 หลักพร้อมบัตรประชาชนตัวจริงติดต่อศูนย์บริการ NT ทุกสาขา
หมายเหตุ : รหัสย้ายค่ายใช้ได้ภายในวันนั้นเท่านั้น หากข้ามวันลูกค้าต้องกดขอรหัสใหม่"
115,ฉันจะสามารถ ต้องการย้ายค่ายเข้ามาเป็น My By NT และ NT Mobile ต้องทำอย่างไร ได้อย่างไร?,"ชำระค่าบริการค่ายเดิม พร้อมกดขอรหัสย้ายค่าย *151*เลขบัตรประชาชน 13 หลัก # โทรออก นำรหัส 8 หลักพร้อมบัตรประชาชนตัวจริงติดต่อศูนย์บริการ NT ทุกสาขา
หมายเหตุ : รหัสย้ายค่ายใช้ได้ภายในวันนั้นเท่านั้น หากข้ามวันลูกค้าต้องกดขอรหัสใหม่"
116,ชำระค่าบริการ My By โทรคมนาคมแห่งชาติ  และ โทรคมนาคมแห่งชาติ Mobile ผ่านช่องทางใดได้บ้าง,"NT Quick Pay = http://quickpay.nteservice.com ,แอปธนาคาร, ศูนย์บริการ NT, 7-11"
117,ชำระค่าบริการ My By National Telecom  และ National Telecom Mobile ผ่านช่องทางใดได้บ้าง,"NT Quick Pay = http://quickpay.nteservice.com ,แอปธนาคาร, ศูนย์บริการ NT, 7-11"
118,ฉันจะสามารถ ชำระค่าบริการ My By NT  และ NT Mobile ผ่านช่องทางใดได้บ้าง ได้อย่างไร?,"NT Quick Pay = http://quickpay.nteservice.com ,แอปธนาคาร, ศูนย์บริการ NT, 7-11"
119,ชำระค่าบริการ My By NT  และ NT Mobile ผ่านช่องทางใดได้บ้าง,"NT Quick Pay = http://quickpay.nteservice.com ,แอปธนาคาร, ศูนย์บริการ NT, 7-11"
120,ช่วยบอกฉันเกี่ยวกับ ชำระค่าบริการ My By NT  และ NT Mobile ผ่านช่องทางใดได้บ้าง,"NT Quick Pay = http://quickpay.nteservice.com ,แอปธนาคาร, ศูนย์บริการ NT, 7-11"
121,ช่วยบอกฉันเกี่ยวกับ หักผ่านบัญชีธนาคารใช้เอกสารอะไรบ้าง,"แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา
หมายเหตุ : สำหรับ TTB ธนาคารจะนำส่งเอกสารให้ลูกค้าเอง"
122,หักผ่านบัญชีธนาคารใช้เอกสารอะไรบ้าง ได้ที่ไหน?,"แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา
หมายเหตุ : สำหรับ TTB ธนาคารจะนำส่งเอกสารให้ลูกค้าเอง"
123,หักผ่านบัญชีธนาคารใช้เอกสารอะไรบ้าง,"แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา
หมายเหตุ : สำหรับ TTB ธนาคารจะนำส่งเอกสารให้ลูกค้าเอง"
124,มีรายละเอียดเพิ่มเติมเกี่ยวกับ หักผ่านบัญชีธนาคารใช้เอกสารอะไรบ้าง หรือไม่?,"แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา
หมายเหตุ : สำหรับ TTB ธนาคารจะนำส่งเอกสารให้ลูกค้าเอง"
125,ฉันจะสามารถ หักผ่านบัญชีธนาคารใช้เอกสารอะไรบ้าง ได้อย่างไร?,"แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา แบบแจ้งความประสงค์การชำระค่าบริการด้วยวิธีหักผ่านบัญชี, สมุดบัญชีธนาคาร, สำเนาบัตรประชาชนเจ้าของบัญชี ยื่นเอกสารให้ธนาคารตรวจสอบข้อมูล หลังจากนั้นนำเอกสารยื่นที่ NT ได้ทุกสาขา
หมายเหตุ : สำหรับ TTB ธนาคารจะนำส่งเอกสารให้ลูกค้าเอง"
126,ลูกค้าไม่ได้รับใบแจ้งค่าบริการ,สามารถติดต่อแจ้งได้ที่ศูนย์บริการ NT ทุกสาขา หรือ ส่วนจัดทำใบแจ้งหนี้ 025748352-3
127,ลูกค้าไม่ได้รับใบแจ้งค่าบริการ ได้ที่ไหน?,สามารถติดต่อแจ้งได้ที่ศูนย์บริการ NT ทุกสาขา หรือ ส่วนจัดทำใบแจ้งหนี้ 025748352-3
128,ช่วยบอกฉันเกี่ยวกับ ลูกค้าไม่ได้รับใบแจ้งค่าบริการ,สามารถติดต่อแจ้งได้ที่ศูนย์บริการ NT ทุกสาขา หรือ ส่วนจัดทำใบแจ้งหนี้ 025748352-3
129,ฉันจะสามารถ ลูกค้าไม่ได้รับใบแจ้งค่าบริการ ได้อย่างไร?,สามารถติดต่อแจ้งได้ที่ศูนย์บริการ NT ทุกสาขา หรือ ส่วนจัดทำใบแจ้งหนี้ 025748352-3
130,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ลูกค้าไม่ได้รับใบแจ้งค่าบริการ หรือไม่?,สามารถติดต่อแจ้งได้ที่ศูนย์บริการ NT ทุกสาขา หรือ ส่วนจัดทำใบแจ้งหนี้ 025748352-3
131,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ลูกค้าร้องเรียนโทรศัพท์ใช้งานไม่ได้ หรือไม่?,สามารถติดต่อแจ้งเสีย Call Center 1177 ตลอด 24 ชั่วโมง
132,ลูกค้าร้องเรียนโทรศัพท์ใช้งานไม่ได้,สามารถติดต่อแจ้งเสีย Call Center 1177 ตลอด 24 ชั่วโมง
133,ลูกค้าร้องเรียนโทรศัพท์ใช้งานไม่ได้ ได้ที่ไหน?,สามารถติดต่อแจ้งเสีย Call Center 1177 ตลอด 24 ชั่วโมง
134,ฉันจะสามารถ ลูกค้าร้องเรียนโทรศัพท์ใช้งานไม่ได้ ได้อย่างไร?,สามารถติดต่อแจ้งเสีย Call Center 1177 ตลอด 24 ชั่วโมง
135,ช่วยบอกฉันเกี่ยวกับ ลูกค้าร้องเรียนโทรศัพท์ใช้งานไม่ได้,สามารถติดต่อแจ้งเสีย Call Center 1177 ตลอด 24 ชั่วโมง
136,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ลูกค้าสงสัยกี่รอบบิลถึงโดนระงับสัญญาณ หรือไม่?,ค้างชำระได้ไม่เกิน 2 รอบบิล
137,ช่วยบอกฉันเกี่ยวกับ ลูกค้าสงสัยกี่รอบบิลถึงโดนระงับสัญญาณ,ค้างชำระได้ไม่เกิน 2 รอบบิล
138,ลูกค้าสงสัยกี่รอบบิลถึงโดนระงับสัญญาณ,ค้างชำระได้ไม่เกิน 2 รอบบิล
139,ฉันจะสามารถ ลูกค้าสงสัยกี่รอบบิลถึงโดนระงับสัญญาณ ได้อย่างไร?,ค้างชำระได้ไม่เกิน 2 รอบบิล
140,ลูกค้าสงสัยกี่รอบบิลถึงโดนระงับสัญญาณ ได้ที่ไหน?,ค้างชำระได้ไม่เกิน 2 รอบบิล
141,สอบถามศูนย์บริการใกล้บ้าน,ติดต่อ Call Center 1888 หรือ www.nc.ntplc.co.th/coverpage/s_main.php
142,มีรายละเอียดเพิ่มเติมเกี่ยวกับ สอบถามศูนย์บริการใกล้บ้าน หรือไม่?,ติดต่อ Call Center 1888 หรือ www.nc.ntplc.co.th/coverpage/s_main.php
143,ฉันจะสามารถ สอบถามศูนย์บริการใกล้บ้าน ได้อย่างไร?,ติดต่อ Call Center 1888 หรือ www.nc.ntplc.co.th/coverpage/s_main.php
144,ช่วยบอกฉันเกี่ยวกับ สอบถามศูนย์บริการใกล้บ้าน,ติดต่อ Call Center 1888 หรือ www.nc.ntplc.co.th/coverpage/s_main.php
145,สอบถามศูนย์บริการใกล้บ้าน ได้ที่ไหน?,ติดต่อ Call Center 1888 หรือ www.nc.ntplc.co.th/coverpage/s_main.php
146,มีรายละเอียดเพิ่มเติมเกี่ยวกับ งานรับชำระเงิน เปิด-ปิด กี่โมง หรือไม่?,งานรับชำระเงิน เปิด 08.30 น.-16.00 น.
147,งานรับชำระเงิน เปิด-ปิด กี่โมง,งานรับชำระเงิน เปิด 08.30 น.-16.00 น.
148,งานรับชำระเงิน เปิด-ปิด กี่โมง ได้ที่ไหน?,งานรับชำระเงิน เปิด 08.30 น.-16.00 น.
149,ฉันจะสามารถ งานรับชำระเงิน เปิด-ปิด กี่โมง ได้อย่างไร?,งานรับชำระเงิน เปิด 08.30 น.-16.00 น.
150,ช่วยบอกฉันเกี่ยวกับ งานรับชำระเงิน เปิด-ปิด กี่โมง,งานรับชำระเงิน เปิด 08.30 น.-16.00 น.
151,โทรศัพท์ใช้งานไม่ได้ชดเชยให้อย่างไร,แจ้งเสียผ่าน Call Center 1177 ติดต่อศูนย์บริการ NT ทุกสาขา เพื่อเขียนคำร้องแจ้งประสงค์ขอปรับลดค่าใช้บริการ
152,มีรายละเอียดเพิ่มเติมเกี่ยวกับ โทรศัพท์ใช้งานไม่ได้ชดเชยให้อย่างไร หรือไม่?,แจ้งเสียผ่าน Call Center 1177 ติดต่อศูนย์บริการ NT ทุกสาขา เพื่อเขียนคำร้องแจ้งประสงค์ขอปรับลดค่าใช้บริการ
153,ฉันจะสามารถ โทรศัพท์ใช้งานไม่ได้ชดเชยให้อย่างไร ได้อย่างไร?,แจ้งเสียผ่าน Call Center 1177 ติดต่อศูนย์บริการ NT ทุกสาขา เพื่อเขียนคำร้องแจ้งประสงค์ขอปรับลดค่าใช้บริการ
154,ช่วยบอกฉันเกี่ยวกับ โทรศัพท์ใช้งานไม่ได้ชดเชยให้อย่างไร,แจ้งเสียผ่าน Call Center 1177 ติดต่อศูนย์บริการ NT ทุกสาขา เพื่อเขียนคำร้องแจ้งประสงค์ขอปรับลดค่าใช้บริการ
155,โทรศัพท์ใช้งานไม่ได้ชดเชยให้อย่างไร ได้ที่ไหน?,แจ้งเสียผ่าน Call Center 1177 ติดต่อศูนย์บริการ NT ทุกสาขา เพื่อเขียนคำร้องแจ้งประสงค์ขอปรับลดค่าใช้บริการ
156,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ADSL มีสัญญาณ สามารถ Connect ได้ แต่บางเว็บเข้าไม่ได้ เป็นเพราะเหตุใด? หรือไม่?,"ตรวจสอบ Default Gateway หากไม่พบ Gateway แนะนำลูกค้าตรวจสอบเครื่องลูกค้าหากพบ Default Gateway ให้เข้าหน้า Modem เช็คว่าได้รับค่า IP WAN หรือไม่ แต่ถ้าได้รับ IP WAN แล้วยังใช้งานไม่ได้ แนะนำให้ ตรวจสอบว่ามีการ Fix Ip , DNS , Proxy ไว้หรือไม่ ปรากฎว่ามี ให้เอาออก และทำการ Delete file cookies history พร้อมปิด Security Firewall และ Restart เครื่องแล้วลองใช้งาน หากใช้งานไม่ได้ติดต่อ: NT Helpdesk1888"
157,ช่วยบอกฉันเกี่ยวกับ ADSL มีสัญญาณ สามารถ Connect ได้ แต่บางเว็บเข้าไม่ได้ เป็นเพราะเหตุใด?,"ตรวจสอบ Default Gateway หากไม่พบ Gateway แนะนำลูกค้าตรวจสอบเครื่องลูกค้าหากพบ Default Gateway ให้เข้าหน้า Modem เช็คว่าได้รับค่า IP WAN หรือไม่ แต่ถ้าได้รับ IP WAN แล้วยังใช้งานไม่ได้ แนะนำให้ ตรวจสอบว่ามีการ Fix Ip , DNS , Proxy ไว้หรือไม่ ปรากฎว่ามี ให้เอาออก และทำการ Delete file cookies history พร้อมปิด Security Firewall และ Restart เครื่องแล้วลองใช้งาน หากใช้งานไม่ได้ติดต่อ: NT Helpdesk1888"
158,ADSL มีสัญญาณ สามารถ Connect ได้ แต่บางเว็บเข้าไม่ได้ เป็นเพราะเหตุใด? ได้ที่ไหน?,"ตรวจสอบ Default Gateway หากไม่พบ Gateway แนะนำลูกค้าตรวจสอบเครื่องลูกค้าหากพบ Default Gateway ให้เข้าหน้า Modem เช็คว่าได้รับค่า IP WAN หรือไม่ แต่ถ้าได้รับ IP WAN แล้วยังใช้งานไม่ได้ แนะนำให้ ตรวจสอบว่ามีการ Fix Ip , DNS , Proxy ไว้หรือไม่ ปรากฎว่ามี ให้เอาออก และทำการ Delete file cookies history พร้อมปิด Security Firewall และ Restart เครื่องแล้วลองใช้งาน หากใช้งานไม่ได้ติดต่อ: NT Helpdesk1888"
159,ADSL มีสัญญาณ สามารถ Connect ได้ แต่บางเว็บเข้าไม่ได้ เป็นเพราะเหตุใด?,"ตรวจสอบ Default Gateway หากไม่พบ Gateway แนะนำลูกค้าตรวจสอบเครื่องลูกค้าหากพบ Default Gateway ให้เข้าหน้า Modem เช็คว่าได้รับค่า IP WAN หรือไม่ แต่ถ้าได้รับ IP WAN แล้วยังใช้งานไม่ได้ แนะนำให้ ตรวจสอบว่ามีการ Fix Ip , DNS , Proxy ไว้หรือไม่ ปรากฎว่ามี ให้เอาออก และทำการ Delete file cookies history พร้อมปิด Security Firewall และ Restart เครื่องแล้วลองใช้งาน หากใช้งานไม่ได้ติดต่อ: NT Helpdesk1888"
160,เทคโนโลยีการสื่อสารข้อมูลความเร็วสูง มีสัญญาณ สามารถ Connect ได้ แต่บางเว็บเข้าไม่ได้ เป็นเพราะเหตุใด?,"ตรวจสอบ Default Gateway หากไม่พบ Gateway แนะนำลูกค้าตรวจสอบเครื่องลูกค้าหากพบ Default Gateway ให้เข้าหน้า Modem เช็คว่าได้รับค่า IP WAN หรือไม่ แต่ถ้าได้รับ IP WAN แล้วยังใช้งานไม่ได้ แนะนำให้ ตรวจสอบว่ามีการ Fix Ip , DNS , Proxy ไว้หรือไม่ ปรากฎว่ามี ให้เอาออก และทำการ Delete file cookies history พร้อมปิด Security Firewall และ Restart เครื่องแล้วลองใช้งาน หากใช้งานไม่ได้ติดต่อ: NT Helpdesk1888"
161,ลูกค้าสามารถติดตั้ง Roaming ได้ตั้งแต่เมื่อไหร่ ได้ที่ไหน?,ลูกค้าสามารถติดตั้งค่า Roaming ได้ตั้งแต่วันนี้เป็นต้นไป สามารถดูรายละเอียดได้ที่ www.ntplc.co.th
162,ช่วยบอกฉันเกี่ยวกับ ลูกค้าสามารถติดตั้ง Roaming ได้ตั้งแต่เมื่อไหร่,ลูกค้าสามารถติดตั้งค่า Roaming ได้ตั้งแต่วันนี้เป็นต้นไป สามารถดูรายละเอียดได้ที่ www.ntplc.co.th
163,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ลูกค้าสามารถติดตั้ง Roaming ได้ตั้งแต่เมื่อไหร่ หรือไม่?,ลูกค้าสามารถติดตั้งค่า Roaming ได้ตั้งแต่วันนี้เป็นต้นไป สามารถดูรายละเอียดได้ที่ www.ntplc.co.th
164,ลูกค้าสามารถติดตั้ง Roaming ได้ตั้งแต่เมื่อไหร่,ลูกค้าสามารถติดตั้งค่า Roaming ได้ตั้งแต่วันนี้เป็นต้นไป สามารถดูรายละเอียดได้ที่ www.ntplc.co.th
165,ฉันจะสามารถ ลูกค้าสามารถติดตั้ง Roaming ได้ตั้งแต่เมื่อไหร่ ได้อย่างไร?,ลูกค้าสามารถติดตั้งค่า Roaming ได้ตั้งแต่วันนี้เป็นต้นไป สามารถดูรายละเอียดได้ที่ www.ntplc.co.th
166,ถ้าต้องการติดตั้งโทรศัพท์ประจำที่ จะต้องติดต่อที่ไหน ได้ที่ไหน?,ผู้สนใจสามารถขอติดตั้งโทรศัพท์ฯ ได้ที่ศูนย์บริการลูกค้า NT ในพื้นที่ หรือ ขอใช้บริการออนไลน์ผ่าน www.ntplc.co.th
167,ถ้าต้องการติดตั้งโทรศัพท์ประจำที่ จะต้องติดต่อที่ไหน,ผู้สนใจสามารถขอติดตั้งโทรศัพท์ฯ ได้ที่ศูนย์บริการลูกค้า NT ในพื้นที่ หรือ ขอใช้บริการออนไลน์ผ่าน www.ntplc.co.th
168,ช่วยบอกฉันเกี่ยวกับ ถ้าต้องการติดตั้งโทรศัพท์ประจำที่ จะต้องติดต่อที่ไหน,ผู้สนใจสามารถขอติดตั้งโทรศัพท์ฯ ได้ที่ศูนย์บริการลูกค้า NT ในพื้นที่ หรือ ขอใช้บริการออนไลน์ผ่าน www.ntplc.co.th
169,ฉันจะสามารถ ถ้าต้องการติดตั้งโทรศัพท์ประจำที่ จะต้องติดต่อที่ไหน ได้อย่างไร?,ผู้สนใจสามารถขอติดตั้งโทรศัพท์ฯ ได้ที่ศูนย์บริการลูกค้า NT ในพื้นที่ หรือ ขอใช้บริการออนไลน์ผ่าน www.ntplc.co.th
170,มีรายละเอียดเพิ่มเติมเกี่ยวกับ ถ้าต้องการติดตั้งโทรศัพท์ประจำที่ จะต้องติดต่อที่ไหน หรือไม่?,ผู้สนใจสามารถขอติดตั้งโทรศัพท์ฯ ได้ที่ศูนย์บริการลูกค้า NT ในพื้นที่ หรือ ขอใช้บริการออนไลน์ผ่าน www.ntplc.co.th
171,"เครื่อง iphone, ipad ไม่แสดงตารางออกอากาศ","ให้เข้าไอคอน Setting เลือก General เลือก International เลือก regions format เลือก เวลาให้เป็นแบบ international โดยเลือกไปที่ ประเทศอเมริกา United States รูปแบบเวลาในเครื่องจะเป็นแบบ am, pm ( เนื่องจากระบบตั้งค่าไว้เป็นรูปแบบนี้ ถ้าเลือกแสดงเวลาแบบ ไทยผังรายการจะไม่แสดง )"
172,"ฉันจะสามารถ เครื่อง iphone, ipad ไม่แสดงตารางออกอากาศ ได้อย่างไร?","ให้เข้าไอคอน Setting เลือก General เลือก International เลือก regions format เลือก เวลาให้เป็นแบบ international โดยเลือกไปที่ ประเทศอเมริกา United States รูปแบบเวลาในเครื่องจะเป็นแบบ am, pm ( เนื่องจากระบบตั้งค่าไว้เป็นรูปแบบนี้ ถ้าเลือกแสดงเวลาแบบ ไทยผังรายการจะไม่แสดง )"
173,"เครื่อง iphone, ipad ไม่แสดงตารางออกอากาศ ได้ที่ไหน?","ให้เข้าไอคอน Setting เลือก General เลือก International เลือก regions format เลือก เวลาให้เป็นแบบ international โดยเลือกไปที่ ประเทศอเมริกา United States รูปแบบเวลาในเครื่องจะเป็นแบบ am, pm ( เนื่องจากระบบตั้งค่าไว้เป็นรูปแบบนี้ ถ้าเลือกแสดงเวลาแบบ ไทยผังรายการจะไม่แสดง )"
174,"มีรายละเอียดเพิ่มเติมเกี่ยวกับ เครื่อง iphone, ipad ไม่แสดงตารางออกอากาศ หรือไม่?","ให้เข้าไอคอน Setting เลือก General เลือก International เลือก regions format เลือก เวลาให้เป็นแบบ international โดยเลือกไปที่ ประเทศอเมริกา United States รูปแบบเวลาในเครื่องจะเป็นแบบ am, pm ( เนื่องจากระบบตั้งค่าไว้เป็นรูปแบบนี้ ถ้าเลือกแสดงเวลาแบบ ไทยผังรายการจะไม่แสดง )"
